Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3/12/2020,India,74,71,3,0
3/13/2020,India,75,71,3,1
3/14/2020,India,84,72,10,2
3/15/2020,India,107,95,10,2
3/16/2020,India,114,99,13,2
3/17/2020,India,137,120,14,3
3/18/2020,India,146,129,14,3
3/19/2020,India,166,148,15,3
3/20/2020,India,195,171,20,4
3/21/2020,India,258,231,23,4
3/22/2020,India,360,329,24,7
3/23/2020,India,433,402,24,7
3/24/2020,India,492,446,37,9
3/25/2020,India,519,469,40,10
3/26/2020,India,649,593,43,13
3/27/2020,India,724,640,67,17
3/28/2020,India,909,810,80,19
3/29/2020,India,979,867,87,25
3/30/2020,India,1071,942,100,29
3/31/2020,India,1397,1238,124,35
4/1/2020,India,1637,1466,133,38
4/2/2020,India,1965,1764,151,50
4/3/2020,India,2301,2088,157,56
4/4/2020,India,2902,2650,184,68
4/5/2020,India,3374,3030,267,77
4/6/2020,India,4067,3666,292,109
4/7/2020,India,4421,3981,326,114
4/8/2020,India,5194,4643,402,149
4/9/2020,India,5734,5095,473,166
4/10/2020,India,6412,5709,504,199
4/11/2020,India,7447,6565,643,239
4/12/2020,India,8356,7367,716,273
4/13/2020,India,9152,7987,857,308
4/14/2020,India,10363,8988,1036,339
4/15/2020,India,11439,9756,1306,377
4/16/2020,India,12380,10477,1489,414
4/17/2020,India,13387,11201,1749,437
4/18/2020,India,14378,11906,1992,480
4/19/2020,India,15712,12974,2231,507
4/20/2020,India,17265,14175,2547,543
4/21/2020,India,18601,14759,3252,590
4/22/2020,India,19984,15474,3870,640
4/23/2020,India,21393,16454,4258,681
4/24/2020,India,23077,17610,4749,718
4/25/2020,India,24506,18668,5063,775
4/26/2020,India,26496,19868,5804,824
4/27/2020,India,27892,20835,6185,872
4/28/2020,India,29435,21632,6869,934
4/29/2020,India,31332,22629,7696,1007
4/30/2020,India,33050,23651,8325,1074
5/1/2020,India,35043,25007,8889,1147
5/2/2020,India,37336,26167,9951,1218
5/3/2020,India,39980,28046,10633,1301
5/4/2020,India,42533,29453,11707,1373
5/5/2020,India,46433,32138,12727,1568
5/6/2020,India,49390,33513,14183,1694
5/7/2020,India,52951,35901,15267,1783
5/8/2020,India,56341,37915,16540,1886
5/9/2020,India,59662,39834,17847,1981
5/10/2020,India,62939,41472,19358,2109
5/11/2020,India,67152,44029,20917,2206
5/12/2020,India,70756,46008,22455,2293
5/13/2020,India,74281,47480,24386,2415
5/14/2020,India,78003,49219,26235,2549
5/15/2020,India,81970,51401,27920,2649
5/16/2020,India,85940,53035,30153,2752
5/17/2020,India,90927,53946,34109,2872
5/18/2020,India,96169,56316,36824,3029
5/19/2020,India,101139,58802,39174,3163
5/20/2020,India,106750,61149,42298,3303
5/21/2020,India,112359,63624,45300,3435
5/22/2020,India,118447,66330,48534,3583
5/23/2020,India,125101,69597,51784,3720
5/24/2020,India,131868,73560,54441,3867
5/25/2020,India,138845,77103,57721,4021
5/26/2020,India,145380,80722,60491,4167
5/27/2020,India,151767,83004,64426,4337
5/28/2020,India,158333,86110,67692,4531
5/29/2020,India,165799,89987,71106,4706
5/30/2020,India,173763,86422,82370,4971
5/31/2020,India,182143,89995,86984,5164
6/1/2020,India,190535,93322,91819,5394
6/2/2020,India,198706,97581,95527,5598
6/3/2020,India,207615,101497,100303,5815
6/4/2020,India,216919,106737,104107,6075
6/5/2020,India,226770,110960,109462,6348
6/6/2020,India,236657,115942,114073,6642
6/7/2020,India,246628,120406,119293,6929
6/8/2020,India,256611,125381,124095,7135
6/9/2020,India,266598,129917,129215,7466
6/10/2020,India,276583,133632,135206,7745
6/11/2020,India,286579,137448,141029,8102
6/12/2020,India,297535,141842,147195,8498
6/13/2020,India,308993,145779,154330,8884
6/14/2020,India,320922,149348,162379,9195
6/15/2020,India,332424,153106,169798,9520
6/16/2020,India,343091,153178,180013,9900
6/17/2020,India,354065,155227,186935,11903
6/18/2020,India,366946,160384,194325,12237
6/19/2020,India,380532,163248,204711,12573
6/20/2020,India,395048,168269,213831,12948
6/21/2020,India,410461,169451,227756,13254
6/22/2020,India,425282,174387,237196,13699
6/23/2020,India,440215,178014,248190,14011
6/24/2020,India,456183,183022,258685,14476
6/25/2020,India,473105,186514,271697,14894
6/26/2020,India,490401,189463,285637,15301
6/27/2020,India,508953,197387,295881,15685
6/28/2020,India,528859,203051,309713,16095
